Table S1. Identification and collection information for all specimens submitted to BOLD in this study.,,,,
NID #,Species name,Collection location,GenBank COI Acc. #,Other GenBank Accessions associated with the specimen
N3041,Hemicycliophora sp.,"USA: Uinta-Wasatch-Cache National Forest, Wasatch County, UT",MF770935,MF094964 (NC18S)
N3938,Hemicycliophora sp.,"USA: Kirby Creek Trail, Turkey Creek Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN711000,
N3981,Hemicycliophora sp.,"USA: Kirby Creek Trail, Turkey Creek Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN711001,
N4092,Hemicycliophora sp.,"USA: Hickory Creek Savannah Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN711002,
N4101,Hemicycliophora sp.,"USA: Hickory Creek Savannah Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN711003,
N4102,Hemicycliophora sp.,"USA: Hickory Creek Savannah Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN711004,
N4169,Hemicycliophora sp.,"USA: Hickory Creek Savannah Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN711005,
N4179,Hemicycliophora sp.,"USA: Hickory Creek Savannah Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN711006,
N4251,Hemicycliophora sp.,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711007,
N4262,Hemicycliophora sp.,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711008,
N5549,Hemicycliophora sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN711009,
N5786,Hemicycliophora sp.,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN711010,
N5787,Hemicycliophora sp.,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN711011,
N7180,Hemicycliophora sp.,"USA: Border Lake, Crescent Lake National Wildlife Refuge, Garden County, Nebraska",MN711012,
N7181,Hemicycliophora sp.,"USA: Border Lake, Crescent Lake National Wildlife Refuge, Garden County, Nebraska",MN711013,
N8228,Hemicycliophora sp.,"Canada: Newport Forest, Ontario",MN711014,
N8835,Hemicycliophora sp.,"USA: Brendan C. Byrne State Forest, Burlington County, New Jersey",MN711015,
N8844,Hemicycliophora sp.,"USA: Brendan C. Byrne State Forest, Burlington County, New Jersey",MN711016,
N9034,Hemicycliophora sp.,"USA: Medicine Bow National Forest, Albany County, Wyoming",MN711017,
N9046,Hemicycliophora sp.,"USA: Medicine Bow National Forest, Albany County, Wyoming",MN711018,
N9109,Hemicycliophora sp.,"Canada: Newport Forest, Ontario",MN711019,
N9181,Hemicycliophora sp.,"Poland: Dzisna, West Pomerania",MN711020,
N9197,Hemicycliophora sp.,"Poland: Dzisna, West Pomerania",MN711021,
N9309,Hemicycliophora sp.,"Canada: Mt. St. Hilaire, Quebec",MN711022,
N9326,Hemicycliophora sp.,"Canada: Mt. St. Hilaire, Quebec",MN711023,
N9371,Hemicycliophora sp.,"USA: Medicine Bow National Forest, Albany County, Wyoming",MN711024,
N9374,Hemicycliophora sp.,"USA: Medicine Bow National Forest, Albany County, Wyoming",MN711025,
P135032,Hemicycliophora sp.,"Costa Rica: La Selva Biological Station, Plot 802",MN711026,EU880119 (18S-3’)
P183098,Hemicycliophora sp.,Costa Rica: La Selva Biological Station,MN711027,FJ489550 (18S-3’)
P214069,Hemicycliophora sp.,"Costa Rica: OTS Las Cruces Biological Station, Puntarenas Province, Coto Brus County",MN711028,FJ489588 (18S-3’)
P214070,Hemicycliophora sp.,"Costa Rica: OTS Las Cruces Biological Station, Puntarenas Province, Coto Brus County",MN711029,FJ489589 (18S-3’)
N5560,Lobocriconema incrassatum,"USA: Emigration Canyon, Wasatch and Uinta National Forest, Salt Lake County, UT",KU236506,
N5562,Lobocriconema incrassatum,"USA: Emigration Canyon, Wasatch and Uinta National Forest, Salt Lake County, UT",KU236507,
N5563,Lobocriconema incrassatum,"USA: Emigration Canyon, Wasatch and Uinta National Forest, Salt Lake County, UT",KU236508,"KU236654 (ITS1),  MF095014 (NC18S-ITS1)"
N5575,Lobocriconema incrassatum,"USA: Providence Canyon, Wasatch and Uinta National Forest, Cache County, UT",KU236619,KU236655 (ITS1)
N5576,Lobocriconema incrassatum,"USA: Providence Canyon, Wasatch and Uinta National Forest, Cache County, UT",KU236620,"KU236656 (ITS1),  MF095018 (NC18S-ITS1)"
N5577,Lobocriconema incrassatum,"USA: Providence Canyon, Wasatch and Uinta National Forest, Cache County, UT",KU236621,"KU236657 (ITS1),  MF095019 (NC18S-ITS1)"
N1,Lobocriconema sp.,"USA: Timmas Farm State Ecological Preserve, Cass County, Nebraska",KU236629," MF094889 (NC18S), FJ489593 (18S-3’)"
N288,Lobocriconema sp.,"USA: Wisconsin River Watershed, Sauk County, Wisconsin",KU236486,
N577,Lobocriconema sp.,"USA: Ichetucknee Springs State Park, Columbia County, FL",KU236548," MF094895 (NC18S), JF972476 (18S-3’)"
N587,Lobocriconema sp.,"USA: Ichetucknee Springs State Park, Columbia County, FL",KU236549,
N589,Lobocriconema sp.,"USA: Ichetucknee Springs State Park, Columbia County, FL",KU236550,
N894,Lobocriconema sp.,"USA: Chimney Creek, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236496, MF094898 (NC18S)
N899,Lobocriconema sp.,"USA: Chimney Creek, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236497,
N938,Lobocriconema sp.,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KU236558,
N1108,Lobocriconema sp.,"USA: Nine-Mile Prairie, Section A, Lancaster County, Nebraska",KU236559,
N1124,Lobocriconema sp.,"USA: Nine-Mile Prairie, Section A, Lancaster County, Nebraska",KU236560,
N1130,Lobocriconema sp.,"USA: Avoca Prairie and Oak Savanna State Natural Area, Iowa County, Wisconsin",KU236487,
N1149,Lobocriconema sp.,"USA: Avoca Prairie and Oak Savanna State Natural Area, Iowa County, Wisconsin",KU236488,
N1152,Lobocriconema sp.,"USA: Avoca Prairie and Oak Savanna State Natural Area, Iowa County, Wisconsin",KU236489,
N1155,Lobocriconema sp.,"USA: Nine-Mile Prairie, Section A, Lancaster County, Nebraska",KU236561,
N1156,Lobocriconema sp.,"USA: Nine-Mile Prairie, Section A, Lancaster County, Nebraska",KU236562,
N1205,Lobocriconema sp.,"USA: Pine Cliff State Natural Area, Governor Dodge State Park, Iowa County, Wisconsin",KU236490,
N1206,Lobocriconema sp.,"USA: Pine Cliff State Natural Area, Governor Dodge State Park, Iowa County, Wisconsin",KU236491,MF094905 (NC18S)
N1214,Lobocriconema sp.,"USA: Long Branch Stream Valley Park, Accotink Creek Watershed, Fairfax County, Virgina",KU236492,
N1243,Lobocriconema sp.,"USA: Nine-Mile Prairie, Section A, Lancaster County, Nebraska",KU236563,
N1291,Lobocriconema sp.,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KU236564,
N1310,Lobocriconema sp.,"USA: Nine-Mile Prairie, Section D, Lancaster County, Nebraska",KU236565,
N1362,Lobocriconema sp.,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KU236566,
N1372,Lobocriconema sp.,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KU236567,
N1382,Lobocriconema sp.,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KU236568,MF094917 (NC18S)
N1395,Lobocriconema sp.,"USA: Turkey Run Trail, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",KU236630,MF094918 (NC18S)
N1462,Lobocriconema sp.,"USA: Roth Prairie Natural Area Wildlife Management Area, Arkansas County, AR",KU236493,
N1465,Lobocriconema sp.,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",KU236498,
N2273,Lobocriconema sp.,"USA: Roy E. Larsen Sandyland Sanctuary, Hardin County, Texas",KU236555,"KU236658 (ITS1),  MF094924 (NC18S-ITS1)"
N2293,Lobocriconema sp.,"USA: Roy E. Larsen Sandyland Sanctuary, Hardin County, Texas",KU236556,KU236659 (ITS1)
N2582,Lobocriconema sp.,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",KU236499,
N2739,Lobocriconema sp.,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",KU236500,
N2791,Lobocriconema sp.,"USA: Goshen Prong, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236501,
N2805,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236509,
N2861,Lobocriconema sp.,"USA: Konza Prairie Biological Station (KPBS), Geary County, Kansas",KU236569,KU236660 (ITS1)
N2862,Lobocriconema sp.,"USA: Konza Prairie Biological Station (KPBS), Geary County, Kansas",KU236557,MF094943 (NC18S)
N2914,Lobocriconema sp.,"USA: Aurora Prairie Preserve, Brookings County, SD",KU236570,"KU236661 (ITS1),  MF094947 (NC18S-ITS1)"
N3001,Lobocriconema sp.,"USA: Goshen Prong, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236502,KU236646 (ITS1)
N3002,Lobocriconema sp.,"USA: Goshen Prong, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN711030,
N3003,Lobocriconema sp.,"USA: Goshen Prong, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236503,KU236647 (ITS1)
N3057,Lobocriconema sp.,"USA: Tunica Hills State Wildlife Refuge, West Feliciana Parish, Louisiana",KU236597,MF094966 (NC18S)
N3068,Lobocriconema sp.,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",KU236601,MF094969 (NC18S)
N3090,Lobocriconema sp.,"USA: Tunica Hills State Wildlife Refuge, West Feliciana Parish, Louisiana",KU236598,
N3091,Lobocriconema sp.,"USA: Tunica Hills State Wildlife Refuge, West Feliciana Parish, Louisiana",KU236599, KU236662 (ITS1)
N3121,Lobocriconema sp.,"USA: Tunica Hills State Wildlife Refuge, West Feliciana Parish, Louisiana",KU236600,KU236663 (ITS1)
N3129,Lobocriconema sp.,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",KU236602,
N3176,Lobocriconema sp.,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236603,
N3177,Lobocriconema sp.,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN711031,
N3178,Lobocriconema sp.,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN711032,
N3179,Lobocriconema sp.,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN711033,
N3194,Lobocriconema sp.,"USA: Ichetucknee Springs State Park, Columbia County, Florida",KU236551,
N3195,Lobocriconema sp.,"USA: Ichetucknee Springs State Park, Columbia County, Florida",KU236552,"KU236664 (ITS1),  MF094979 (NC18S-ITS1)"
N3196,Lobocriconema sp.,"USA: Ichetucknee Springs State Park, Columbia County, Florida",KU236613, MF094980 (NC18S)
N3197,Lobocriconema sp.,"USA: Ichetucknee Springs State Park, Columbia County, Florida",KU236553,KU236665 (ITS1)
N3203,Lobocriconema sp.,"USA: Ichetucknee Springs State Park, Columbia County, Florida",KU236554,"KU236666 (ITS1),  MF094981 (NC18S-ITS1)"
N3213,Lobocriconema sp.,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",KU236575,
N3229,Lobocriconema sp.,"USA: Ozark National Forest, Washington County, Arkansas",KU236631," KU236648 (ITS1),  MF094983 (NC18S-ITS1)"
N3243,Lobocriconema sp.,"USA: Oconaluftee, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236510,
N3247,Lobocriconema sp.,"USA: Oconaluftee, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236576,KU236669 (ITS1)
N3248,Lobocriconema sp.,"USA: Oconaluftee, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236511,
N3249,Lobocriconema sp.,"USA: Oconaluftee, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236571,MF094984 (NC18S)
N3250,Lobocriconema sp.,"USA: Oconaluftee, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236577,KU236670 (ITS1)
N3256,Lobocriconema sp.,"USA: Ozark National Forest, Washington County, Arkansas",KU236578, KU236671 (ITS1)
N3257,Lobocriconema sp.,"USA: Ozark National Forest, Washington County, Arkansas",KU236572,"KU236672 (ITS1),  MF094985 (NC18S-ITS1)"
N3258,Lobocriconema sp.,"USA: Ozark National Forest, Washington County, Arkansas",KU236573,
N3259,Lobocriconema sp.,"USA: Ozark National Forest, Washington County, Arkansas",KU236574,KU236673 (ITS1)
N3260,Lobocriconema sp.,"USA: Ozark National Forest, Washington County, Arkansas",KU236632,
N3265,Lobocriconema sp.,"USA: Ozark National Forest, Washington County, Arkansas",KU236494,KU236644 (ITS1)
N3267,Lobocriconema sp.,"USA: Ozark National Forest, Washington County, Arkansas",KU236495," KU236645 (ITS1),  MF094987 (NC18S-ITS1)"
N3282,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236512,
N3283,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236513,
N3284,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236514,
N3288,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236515,
N3290,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236516,KU236649 (ITS1)
N3291,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236633,
N3293,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236579,
N3295,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236580,
N3296,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236581, KU236674 (ITS1)
N3297,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236608,MF094990 (NC18S)
N3301,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236582,
N3304,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236517,
N3305,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236518,
N3306,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236519,
N3310,Lobocriconema sp.,"USA: Wakulla Springs State Park, Wakulla County, FL",KU236583,KU236675 (ITS1)
N3311,Lobocriconema sp.,"USA: Wakulla Springs State Park, Wakulla County, FL",KU236584,
N3312,Lobocriconema sp.,"USA: Wakulla Springs State Park, Wakulla County, FL",KU236585,
N3315,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236520,
N3317,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236521,"KU236650 (ITS1),  MF094991 (NC18S-ITS1)"
N3318,Lobocriconema sp.,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN711034,
N3321,Lobocriconema sp.,"USA: Bald Cypress Swamp, Wakulla Springs State Park, Wakulla County, Florida",KU236614,KU236676 (ITS1)
N3322,Lobocriconema sp.,"USA: Bald Cypress Swamp, Wakulla Springs State Park, Wakulla County, Florida",KU236615,
N3323,Lobocriconema sp.,"USA: Bald Cypress Swamp, Wakulla Springs State Park, Wakulla County, Florida",KU236616,
N3324,Lobocriconema sp.,"USA: Bald Cypress Swamp, Wakulla Springs State Park, Wakulla County, Florida",KU236617,
N3325,Lobocriconema sp.,"USA: Bald Cypress Swamp, Wakulla Springs State Park, Wakulla County, Florida",KU236618,
N3328,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236609,
N3329,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236610, KU236677 (ITS1)
N3334,Lobocriconema sp.,"USA: Sapelo Island, Georgia Coastal Ecosystem LTER, McIntosh County, Georgia",KU236586,KU236678 (ITS1)
N3341,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236587,KU236679 (ITS1)
N3343,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236611,
N3347,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",KU236612,
N3400,Lobocriconema sp.,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236604, KU236680 (ITS1)
N3401,Lobocriconema sp.,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236605,
N3402,Lobocriconema sp.,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236606,KU236681 (ITS1)
N3403,Lobocriconema sp.,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KU236607,
N3420,Lobocriconema sp.,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",KU236504,
N3421,Lobocriconema sp.,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",KU236505,
N3438,Lobocriconema sp.,"USA: Nine-Mile Prairie, Section A, Lancaster County, Nebraska",MN711035,
N3615,Lobocriconema sp.,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",KU236588,MF095003 (NC18S)
N3658,Lobocriconema sp.,"USA: Homestead Oak, Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",KU236589, KU236682 (ITS1)
N3663,Lobocriconema sp.,"USA: Homestead Oak, Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",KU236590,"KU236683 (ITS1),  MF095006 (NC18S-ITS1)"
N3667,Lobocriconema sp.,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",KU236622,
N3674,Lobocriconema sp.,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711036,
N3675,Lobocriconema sp.,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",KU236623,MF095009 (NC18S)
N3677,Lobocriconema sp.,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",KU236624,MF095010 (NC18S)
N5555,Lobocriconema sp.,"Denmark: Saxild Skov, Saxild County, Midtjylland Province",MN711037,
N5586,Lobocriconema sp.,"USA: Tuskegee National Forest, Macon County, Alabama",KU236591,KU236687 (ITS1)
N5631,Lobocriconema sp.,"USA: Tuskegee National Forest, Macon County, Alabama",KU236592,KU236688 (ITS1)
N5632,Lobocriconema sp.,"USA: Tuskegee National Forest, Macon County, Alabama",KU236593,KU236689 (ITS1)
N5633,Lobocriconema sp.,"USA: Tuskegee National Forest, Macon County, Alabama",KU236594,KU236690 (ITS1)
N5640,Lobocriconema sp.,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",MN711038,
N5641,Lobocriconema sp.,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",MN711039,
N5646,Lobocriconema sp.,"USA: Beech Creek Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711040,
N5647,Lobocriconema sp.,"USA: Beech Creek Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",KU236595,
N5653,Lobocriconema sp.,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",KU236596,
N5700,Lobocriconema sp.,"USA: Homestead Oak, Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN711041,
N5754,Lobocriconema sp.,"USA: Hyde Memorial State Park, Santa Fe National Forest, Santa Fe County, New Mexico",MN711042,
N5756,Lobocriconema sp.,"USA: Hyde Memorial State Park, Santa Fe National Forest, Santa Fe County, New Mexico",MN711043,
N5757,Lobocriconema sp.,"USA: Hyde Memorial State Park, Santa Fe National Forest, Santa Fe County, New Mexico",MN711044,
N5758,Lobocriconema sp.,"USA: Hyde Memorial State Park, Santa Fe National Forest, Santa Fe County, New Mexico",MN711045,
N5934,Lobocriconema sp.,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711046,
N7101,Lobocriconema sp.,"USA: Tunica Hills State Wildlife Refuge, West Feliciana Parish, Louisiana",MN711047,
N7122,Lobocriconema sp.,"USA: Torreya State Park, Liberty County, Florida",MN711048,
N8395,Lobocriconema sp.,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711049,
N8396,Lobocriconema sp.,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711050,
N8409,Lobocriconema sp.,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711051,
N8412,Lobocriconema sp.,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711052,
N1157,Lobocriconema thornei,"USA: Tippecanoe County, IN",KU236522,MF094904 (NC18S)
N1158,Lobocriconema thornei,"USA: Hort Woods, Tippecanoe County, Indiana",KU236523,
N1159,Lobocriconema thornei,"USA: Hort Woods, Tippecanoe County, Indiana",KU236524,
N1160,Lobocriconema thornei,"USA: Hort Woods, Tippecanoe County, Indiana",KU236525,
N1339,Lobocriconema thornei,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, VA",KU236526,
N1340,Lobocriconema thornei,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, VA",KU236527,
N1341,Lobocriconema thornei,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, VA",KU236528,
N1344,Lobocriconema thornei,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, VA",KU236529,
N1345,Lobocriconema thornei,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, VA",KU236530,
N1381,Lobocriconema thornei,"USA: Leiter Mansion Ruins and Turkey Run Trail, George Washington Memorial Parkway (GWMP), Fairfax County, VA",KU236531,
N1414,Lobocriconema thornei,"USA: Turkey Run Trail, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",KU236532,
N2524,Lobocriconema thornei,"USA: Michigan State University Water Quality Research Site, Ingham County, MI",KU236533,
N2525,Lobocriconema thornei,"USA: Michigan State University Water Quality Research Site, Ingham County, MI",KU236534, MF094928 (NC18S)
N2526,Lobocriconema thornei,"USA: Michigan State University Water Quality Research Site, Ingham County, MI",KU236535,
N2527,Lobocriconema thornei,"USA: Michigan State University Water Quality Research Site, Ingham County, MI",KU236536,
N3366,Lobocriconema thornei,"USA: Crane Hollow Nature Preserve, Hocking County, OH",KU236537,
N3367,Lobocriconema thornei,"USA: Crane Hollow Nature Preserve, Hocking County, OH",KU236538,KU236651 (ITS1)
N3368,Lobocriconema thornei,"USA: Crane Hollow Nature Preserve, Hocking County, OH",KU236539," KU236652 (ITS1),  MF094994 (NC18S-ITS1)"
N3369,Lobocriconema thornei,"USA: Crane Hollow Nature Preserve, Hocking County, OH",KU236540,
N3381,Lobocriconema thornei,"USA: Porcupine Mountains Wilderness State Park, Ontonogan County, Michigan",KU236625,
N3382,Lobocriconema thornei,"USA: Porcupine Mountains Wilderness State Park, Ontonogan County, Michigan",KU236626,"KU236653 (ITS1),  MF094995 (NC18S-ITS1)"
N3414,Lobocriconema thornei,"USA: Devil's Lake State Park, Parfrey's Glen State Natural Area, Sauk County, WI",KU236627,MF094996 (NC18S)
N3415,Lobocriconema thornei,"USA: Devil's Lake State Park, Parfrey's Glen State Natural Area, Sauk County, WI",KU236628,
N8278,Lobocriconema thornei,"Canada: Mt. St. Hilaire, Quebec",MN711053,
N9005,Lobocriconema thornei,"Canada: Mt. St. Hilaire, Quebec",MN711054,
N9026,Lobocriconema thornei,"Canada: Mt. St. Hilaire, Quebec",MN711055,
N1481,Lobocriconema warrenense,"USA: Neches Bottom and Jack Gore Baygall Unit (NBJG), Big Thicket National Preserve (BITH), Hardin County, Texas",KU236541,
N1491,Lobocriconema warrenense,"USA: Neches Bottom and Jack Gore Baygall Unit (NBJG), Big Thicket National Preserve (BITH), Hardin County, Texas",KU236542,
N2074,Lobocriconema warrenense,"USA: Roy E. Larsen Sandyland Sanctuary, Hardin County, Texas",KU236543,
N3214,Lobocriconema warrenense,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",KU236544,KU236667 (ITS1)
N3215,Lobocriconema warrenense,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",KU236545, KU236668 (ITS1)
N3645,Lobocriconema warrenense,"USA: Neches Bottom and Jack Gore Baygall Unit (NBJG), Big Thicket National Preserve (BITH), Hardin County, Texas",KU236546,MF095004 (NC18S)
N3668,Lobocriconema warrenense,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",KU236547, MF095007 (NC18S)
N3673,Lobocriconema warrenense,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711056,
N5582,Lobocriconema warrenense,"USA: St. Francis National Forest, Lee County, Arkansas",MN711057,
N5583,Lobocriconema warrenense,"USA: St. Francis National Forest, Lee County, Arkansas",MF770958,"KU236684 (ITS1),  MF095020 (NC18S)"
N5585,Lobocriconema warrenense,"USA: St. Francis National Forest, Lee County, Arkansas",MN711058,KU236686 (ITS1)
N5639,Lobocriconema warrenense,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",MN711059,
N8397,Lobocriconema warrenense,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN711060,
N6849,Mesocriconema antipolitanum,Iran: Fars,MN711061,
N6877,Mesocriconema antipolitanum,Iran: Fars,MN711062,
N6879,Mesocriconema antipolitanum,Iran: Fars,MN711063,
N6889,Mesocriconema antipolitanum,Iran: Fars,MN711064,
N122,Mesocriconema curvatum,"USA: Treasure County, Montana",KJ787843,
N123,Mesocriconema curvatum,"USA: Treasure County, Montana",KJ787844,
N124,Mesocriconema curvatum,"USA: Boone County, Missouri",KJ787845,
N149,Mesocriconema curvatum,"USA: Big Horn County, Wyoming",KJ787846,
N362,Mesocriconema curvatum,"USA: Treasure County, Montana",KJ787847,MF094891 (NC18S-ITS1)
N704,Mesocriconema curvatum,"USA: Schluckebier Prairie State Natural Area, North Parcel, Sauk County, Wisconsin",KY574620,
N1087,Mesocriconema curvatum,"USA: Saunders County, Nebraska",KJ787848,
N1088,Mesocriconema curvatum,"USA: Saunders County, Nebraska",KJ787849,
N1090,Mesocriconema curvatum,"USA: Saunders County, Nebraska",KJ787850,
N1116,Mesocriconema curvatum,"USA: Arena Pines and Sand Barrens State Natural Area, Iowa County, Wisconsin",KJ787851,
N7423,Mesocriconema curvatum,USA: Montana,MN711066,
N431,Mesocriconema discus,"USA: Brookings County, SD",KJ787866,HM116047 (18S-3’)
N433,Mesocriconema discus,"USA: Brookings County, SD",KJ787867,HM116048 (18S-3’)
N443,Mesocriconema discus,"USA: Brookings County, SD",KJ787868,HM116049 (18S-3’) MF094892 (NC18S)
N444,Mesocriconema discus,"USA: Brookings County, SD",KJ787869,HM116050 (18S-3’)
N756,Mesocriconema discus,"USA: Brookings County, SD",KJ787870,
N757,Mesocriconema discus,"USA: Brookings County, SD",KJ787871,
N844,Mesocriconema discus,"USA: Doolittle Prairie State Preserve, Story County, IA",KJ787872,
