Table S1. Identification and collection information for all specimens submitted to BOLD in this study.,,,,
NID #,Species name,Collection location,GenBank COI Acc. #,Other GenBank Accessions associated with the specimen
N3098,Criconema sp.,"USA: Hayden Prairie State Preserve, Howard County, Iowa",MN710762,
N3390,Criconema sp.,"USA: Patterson Hemlock's State Natural Area, Oneida County, Wisconsin",MN710763,
N3391,Criconema sp.,"USA: Patterson Hemlock's State Natural Area, Oneida County, Wisconsin",MN710764,
N3493,Criconema sp.,"USA: Daves Creek, Kenai Peninsula Borough, Chugach National Forest, Alaska",MN710765,
N3494,Criconema sp.,"USA: Daves Creek, Kenai Peninsula Borough, Chugach National Forest, Alaska",MN710766,
N5553,Criconema sp.,"Denmark: Saxild Skov, Saxild County, Midtjylland Province",MN710767,
N5554,Criconema sp.,"Denmark: Saxild Skov, Saxild County, Midtjylland Province",MN710768,
N5556,Criconema sp.,"Denmark: Saxild Skov, Saxild County, Midtjylland Province",MN710769,
N5736,Criconema sp.,"USA: Whiskey Springs Trail, Uinta National Forest, Wasatch County, Utah",MN710770,
N5737,Criconema sp.,"USA: Whiskey Springs Trail, Uinta National Forest, Wasatch County, Utah",MN710771,
N5738,Criconema sp.,"USA: Whiskey Springs Trail, Uinta National Forest, Wasatch County, Utah",MN710772,
N5740,Criconema sp.,"USA: Whiskey Springs Trail, Uinta National Forest, Wasatch County, Utah",MN710773,
N5819,Criconema sp.,"USA: North Umpqua Trail, Douglas County, Oregon",MN710774,
N5820,Criconema sp.,"USA: North Umpqua Trail, Douglas County, Oregon",MN710775,
N7048,Criconema sp.,Nepal: Chalti,MN710776,
N7049,Criconema sp.,Nepal: Chalti,MN710777,
N7050,Criconema sp.,Nepal: Chalti,MN710778,
N7051,Criconema sp.,Nepal: Chalti,MN710779,
N7053,Criconema sp.,Nepal: Chalti,MN710780,
N8560,Criconema sp.,"Ireland: Connacht, Galway County",MN710781,
N8596,Criconema sp.,Nepal: Chalti,MN710782,
N8606,Criconema sp.,Nepal: Chalti,MN710783,
N8610,Criconema sp.,Nepal: Chalti,MN710784,
N8618,Criconema sp.,Nepal: Chalti,MN710785,
P183030,Criconema sp.,Costa Rica: Heredia Province,MN710786,FJ489545 (18S-3’)
P199012,Criconema sp.,Costa Rica: Braulio Carrillo National Park,MN710787,FJ489575 (18S-3’)
P199013,Criconema sp.,Costa Rica: Braulio Carrillo National Park,MN710788,FJ489576 (18S-3’)
P199014,Criconema sp.,Costa Rica: Braulio Carrillo National Park,MN710789,FJ489577 (18S-3’)
P199015,Criconema sp.,Costa Rica: Braulio Carrillo National Park,MN710790,FJ489578 (18S-3’)
P199017,Criconema sp.,Costa Rica: Braulio Carrillo National Park,MN710791,FJ489579 (18S-3’)
